Stazione, Milano v.Marche
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2025/01/01,157
2025/01/02,113
2025/01/03,53
2025/01/04,38
2025/01/05,40
2025/01/06,37
2025/01/07,25
2025/01/08,32
2025/01/09,16
2025/01/10,18
2025/01/11,18
2025/01/12,25
2025/01/13,29
2025/01/14,26
2025/01/15,46
2025/01/16,42
2025/01/17,32
2025/01/18,40
2025/01/19,33
2025/01/20,18
2025/01/21,22
2025/01/22,26
2025/01/23,17
2025/01/24,24
2025/01/25,29
2025/01/26,11
2025/01/27,13
2025/01/28,11
2025/01/29,23
2025/01/30,27
2025/01/31,30
2025/02/01,19
2025/02/02,18
2025/02/03,31
2025/02/04,35
2025/02/05,50
2025/02/06,53
2025/02/07,27
2025/02/08,33
2025/02/09,18
2025/02/10,26
2025/02/11,30
2025/02/12,24
2025/02/13,37
2025/02/14,22
2025/02/15,19
2025/02/16,30
2025/02/17,25
2025/02/18,28
2025/02/19,22
2025/02/20,40
2025/02/21,68
2025/02/22,79
2025/02/23,72
2025/02/24,78
2025/02/25,67
2025/02/26,28
2025/02/27,30
2025/02/28,31
